ID_Klienta,Miasto,Typ_Licznika,ID_Taryfy
1001,Słupsk,Standard,G12
1002,Elbląg,Standard,G12
1003,Sopot,Smart,G11
1004,Elbląg,Smart,G11
1005,Elbląg,Smart,G12
1006,Gdynia,Smart,G11
1007,Sopot,Smart,G11
1008,Sopot,Smart,G12
1009,Sopot,Smart,G11
1010,Elbląg,Smart,G11
1011,Słupsk,Smart,G12
1012,Sopot,Standard,G12
1013,Elbląg,Standard,G11
1014,Gdynia,Smart,G12
1015,Słupsk,Smart,G11
1016,Gdynia,Smart,G11
1017,Słupsk,Smart,G12
1018,Elbląg,Smart,G12
1019,Gdańsk,Smart,G12
1020,Słupsk,Smart,G11
1021,Gdynia,Smart,G12
1022,Elbląg,Standard,G12
1023,Słupsk,Smart,G12
1024,Gdańsk,Smart,G12
1025,Gdańsk,Smart,G12
1026,Sopot,Smart,G11
1027,Sopot,Smart,G11
1028,Gdynia,Smart,G12
1029,Słupsk,Smart,G12
1030,Słupsk,Standard,G11
1031,Sopot,Smart,G11
1032,Słupsk,Smart,G11
1033,Słupsk,Standard,G11
1034,Gdańsk,Smart,G12
1035,Sopot,Smart,G11
1036,Elbląg,Smart,G11
1037,Sopot,Smart,G11
1038,Elbląg,Smart,G11
1039,Gdańsk,Smart,G11
1040,Gdynia,Standard,G12
1041,Słupsk,Smart,G12
1042,Gdańsk,Smart,G11
1043,Słupsk,Smart,G11
1044,Gdynia,Standard,G11
1045,Gdynia,Smart,G12
1046,Gdańsk,Smart,G11
1047,Gdynia,Smart,G11
1048,Elbląg,Smart,G12
1049,Gdynia,Smart,G11
1050,Słupsk,Smart,G12
1051,Słupsk,Smart,G11
1052,Słupsk,Smart,G11
1053,Słupsk,Smart,G12
1054,Elbląg,Smart,G12
1055,Sopot,Smart,G12
1056,Gdańsk,Smart,G11
1057,Słupsk,Smart,G11
1058,Gdynia,Smart,G11
1059,Słupsk,Smart,G12
1060,Gdynia,Smart,G11
1061,Gdynia,Smart,G12
1062,Słupsk,Smart,G11
1063,Elbląg,Smart,G11
1064,Gdynia,Smart,G12
1065,Gdynia,Smart,G12
1066,Słupsk,Standard,G12
1067,Gdynia,Smart,G11
1068,Gdynia,Standard,G11
1069,Słupsk,Smart,G11
1070,Słupsk,Smart,G12
1071,Gdańsk,Smart,G11
1072,Elbląg,Smart,G11
1073,Elbląg,Smart,G11
1074,Gdynia,Smart,G11
1075,Elbląg,Smart,G11
1076,Gdynia,Smart,G11
1077,Gdańsk,Smart,G11
1078,Słupsk,Smart,G12
1079,Słupsk,Smart,G12
1080,Słupsk,Smart,G11
1081,Elbląg,Standard,G11
1082,Gdańsk,Smart,G12
1083,Elbląg,Standard,G11
1084,Elbląg,Smart,G11
1085,Gdańsk,Standard,G11
1086,Gdańsk,Smart,G11
1087,Gdańsk,Smart,G12
1088,Gdańsk,Smart,G11
1089,Słupsk,Smart,G12
1090,Sopot,Standard,G11
1091,Sopot,Smart,G11
1092,Gdańsk,Smart,G11
1093,Sopot,Smart,G11
1094,Sopot,Standard,G12
1095,Gdańsk,Smart,G11
1096,Sopot,Smart,G11
1097,Elbląg,Standard,G12
1098,Gdynia,Smart,G11
1099,Gdynia,Smart,G11
1100,Gdańsk,Standard,G11
